car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
T75,BLK 429/432 TAMPINES STREET 41,1.3593290032272178,103.95045443431647,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
T76,BLK 433/443 TAMPINES STREET 43,1.3601677402123415,103.9516421187105,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,3.80,N
T77,BLK 472/484 TAMPINES STREET 43/44,1.3616776499929346,103.95277496065587,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.50,N
T78,BLK 444/450 TAMPINES STREET 42,1.357677310049552,103.95121107233167,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
T79,BLK 451/460 TAMPINES STREET 42,1.3574127639795233,103.9544694414274,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
T8,BLK 137/139 TAMPINES ST 11,1.346414230732235,103.94419007328719,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
T80,BLK 461/471 TAMPINES STREET 44,1.3597987523788764,103.9545729769663,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
T81,BLK 485A/489C TAMPINES ST 45/AVE 9,1.3603298279115956,103.95796754389438,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
T9,BLK 140/148 TAMPINES STREET 12,1.34781633164446,103.94364671149815,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
UAM1,BLK 2A JOO SENG RD,1.334497808758929,103.87921358148903,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
UA2,BLK 3 TO 5 UPPER ALJUNIED LANE,1.3336909599995777,103.87922883841429,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
UA3,BLK 10/11/19 TO 21 JOO SENG ROAD,1.3346544348736076,103.88062786479004,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
UA4,BLK 8 JOO SENG ROAD,1.3352920829560446,103.87892321391799,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
UA5,BLK 12 TO 18 JOO SENG ROAD,1.3365133628413508,103.88118205349524,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.40,N
UA6,BLK 2 UPPER ALJUNIED LANE,1.3342242369297428,103.87915637697861,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
UBA4,UBI AVE 4,1.3357724555455173,103.89617194548737,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
UBKM,BLK 13A UPPER BOON KENG ROAD,1.3148102349625546,103.8708758709946,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
UBK2,BLK 11/15/18 UPPER BOON KENG,1.3155971787692966,103.87139746428335,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
UBK4,BLK 19/20 UPPER BOON KENG,1.3152879383142504,103.8740882168005,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.25,N
UBK5,BLK 38/39 UPPER BOON KENG,1.3185357926226624,103.87395939841554,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.25,N
UBM1,BLK 5 UPP BOON KENG RD,1.3126416639781875,103.87262135331036,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
UBM2,BLK 8 UPPER BOON KENG ROAD,1.3131084199960408,103.87038903664025,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
UCS,BLK 34 UPPER CROSS STREET CAR PARK,1.2866613509167737,103.84185541409319,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
U1,BLK 101/110 BUKIT BATOK WEST AVE 6,1.3483897030178118,103.74698150151255,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
U10,BLK 178/184 BUKIT BATOK WEST AVENUE 8,1.3458035421982828,103.7437242364325,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
U11,BLK 166 BUKIT BATOK WEST AVENUE 8,1.3474209171225648,103.74330320604523,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0.00,N
U12,BLK 201/211 BUKIT BATOK STREET 21,1.3469615718341321,103.74947027262166,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
U13,BLK 212/230 BUKIT BATOK STREET 21,1.3478034470020681,103.75322229615706,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
U14,BLK 217/219 BUKIT BATOK STREET 21,1.3469896662522847,103.75493417141735,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.15,N
U15,BLK 231/237 BUKIT BATOK EAST AVENUE 5,1.348883700209531,103.75543627209319,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
U16,BLK 238/241 BUKIT BATOK EAST AVENUE 5,1.3504356366859565,103.7550634747906,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
U17,BLK 242/253 BUKIT BATOK EAST AVE 2/5,1.350095965597911,103.7568055731971,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
U18,BLK 254/265 BUKIT BATOK EAST AVE 4,1.3510894123958326,103.758733386708,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
